api_number,depth_top,depth_bot,thickness,porosity
42-047-31583,1341.12,1844.04,502.92,0.15
42-047-31584,822.96,2417.064,1594.104,0.15
42-047-31600,768.096,1868.424,1100.328,0.15
42-047-31605,1341.12,1844.04,502.92,0.15
42-047-31609,1526.4384,2467.356,940.9176,0.15
42-047-31654,1158.24,2340.864,1182.624,0.15
42-047-31656,1219.2,2743.2,1524,0.15
42-047-31667,1219.2,2743.2,1524,0.15
42-047-31696,2253.3864,2332.9392,79.5528,0.15
42-047-31699,2340.864,2438.4,97.536,0.15
42-047-31707,1970.8368,2014.728,43.8912,0.15
42-047-31708,1051.56,1798.32,746.76,0.15
42-047-31710,1275.588,1897.38,621.792,0.15
42-047-31713,2423.16,2545.08,121.92,0.15
42-047-31717,2362.2,2532.2784,170.0784,0.15
42-047-31718,2734.6656,2734.6656,0,0.15
42-047-31722,2368.296,2468.88,100.584,0.15
42-047-31745,1149.096,2248.5096,1099.4136,0.15
42-047-31751,1341.12,1859.28,518.16,0.15
42-047-31752,1027.176,2164.08,1136.904,0.15
42-047-31765,1164.336,2298.192,1133.856,0.15
42-047-31809,2487.168,2863.596,376.428,0.15
42-047-31816,1280.16,2740.152,1459.992,0.15
42-047-31826,1219.2,2743.2,1524,0.15
42-047-31827,1194.816,2292.096,1097.28,0.15
42-047-31829,2336.5968,2599.944,263.3472,0.15
42-047-31832,2468.88,2743.2,274.32,0.15
42-047-31834,2279.2944,2807.208,527.9136,0.15
42-047-31842,2205.228,3058.3632,853.1352,0.15
42-047-31847,1828.8,2743.2,914.4,0.15
42-047-31848,1202.436,2346.96,1144.524,0.15
42-047-31851,1202.436,2346.96,1144.524,0.15
42-047-31852,1324.356,2279.904,955.548,0.15
42-047-31866,2109.216,2410.6632,301.4472,0.15
42-047-31872,914.4,1249.68,335.28,0.15
42-047-31890,2045.208,2962.0464,916.8384,0.15
42-047-31903,1082.04,1777.5936,695.5536,0.15
42-047-31909,1274.6736,2952.9024,1678.2288,0.15
42-047-31921,1005.84,2340.864,1335.024,0.15
42-047-31926,1260.6528,3213.8112,1953.1584,0.15
42-047-31945,1664.208,2514.6,850.392,0.15
42-047-31971,1691.64,2535.936,844.296,0.15
42-047-31972,1341.12,2712.72,1371.6,0.15
42-047-31973,1539.24,2854.452,1315.212,0.15
42-047-31998,2148.84,2627.376,478.536,0.15
42-047-32007,1275.8928,2963.8752,1687.9824,0.15
42-047-32013,1325.88,2743.2,1417.32,0.15
42-047-32014,2141.22,2602.992,461.772,0.15
42-047-32017,1402.08,2682.24,1280.16,0.15
42-047-32026,1341.12,2718.816,1377.696,0.15
42-047-32028,1347.216,2813.304,1466.088,0.15
42-047-32033,1269.7968,2982.1632,1712.3664,0.15
42-047-32035,2957.1696,3441.8016,484.632,0.15
42-047-32049,1237.488,2877.312,1639.824,0.15
42-047-32050,292.608,1898.904,1606.296,0.15
42-047-32052,2667,3175.4064,508.4064,0.15
42-047-32054,1275.2832,2011.68,736.3968,0.15
42-047-32056,865.632,1517.904,652.272,0.15
42-047-32057,2038.1976,3672.84,1634.6424,0.15
42-047-32064,850.392,1560.576,710.184,0.15
42-047-32067,981.456,1840.992,859.536,0.15
42-047-32071,1889.76,2485.644,595.884,0.15
42-047-32075,1097.28,1810.512,713.232,0.15
42-047-32077,2407.92,3132.7344,724.8144,0.15
42-047-32094,1205.7888,2857.8048,1652.016,0.15
42-047-32096,1344.168,2845.308,1501.14,0.15
42-047-32113,1264.92,3489.96,2225.04,0.15
42-047-32130,2154.936,2516.4288,361.4928,0.15
42-047-32131,1859.28,2652.9792,793.6992,0.15
42-047-32132,1207.008,2822.448,1615.44,0.15
42-047-32142,914.4,1249.68,335.28,0.15
42-047-32144,2110.1304,2587.1424,477.012,0.15
42-047-32145,1254.252,3468.624,2214.372,0.15
42-047-32154,914.4,1249.68,335.28,0.15
42-047-32157,1301.496,3182.112,1880.616,0.15
42-047-32165,1530.7056,2129.3328,598.6272,0.15
42-047-32172,868.68,1569.72,701.04,0.15
42-047-32215,917.448,1680.972,763.524,0.15
42-047-32242,1272.54,3304.032,2031.492,0.15
42-047-32243,978.408,1575.816,597.408,0.15
42-047-32249,690.372,1574.292,883.92,0.15
42-047-32278,1475.232,2609.088,1133.856,0.15
42-047-32285,1476.756,2597.2008,1120.4448,0.15
42-047-32286,1493.52,2570.988,1077.468,0.15
42-047-32291,2618.8416,3069.336,450.4944,0.15
42-047-32297,2129.028,2606.04,477.012,0.15
42-047-32310,1076.8584,2265.2736,1188.4152,0.15
42-047-32315,1932.432,2502.408,569.976,0.15
42-047-32316,1484.376,2601.468,1117.092,0.15
42-047-32331,1100.0232,3194.304,2094.2808,0.15
42-047-32332,2722.4736,2722.4736,0,0.15
42-047-32333,2267.712,2164.08,-103.632,0.15
42-047-32354,1743.456,2007.108,263.652,0.15
42-047-32360,914.4,1249.68,335.28,0.15
42-047-32366,1053.9984,2108.6064,1054.608,0.15
42-047-32412,914.4,1249.68,335.28,0.15
42-047-32452,1100.0232,3194.304,2094.2808,0.15
42-047-32477,1179.576,2392.68,1213.104,0.15
42-047-32483,1176.528,2435.352,1258.824,0.15
42-047-32488,1176.528,2435.352,1258.824,0.15
42-047-32492,1159.764,2421.636,1261.872,0.15
42-047-32495,2346.96,2606.04,259.08,0.15
42-047-32496,2159.2032,3239.4144,1080.2112,0.15
42-047-32497,2184.1968,3131.82,947.6232,0.15
42-047-32498,1147.8768,2895.6,1747.7232,0.15
42-047-32500,2346.96,2606.04,259.08,0.15
42-047-32501,2346.96,2606.04,259.08,0.15
42-047-32502,1088.136,2834.64,1746.504,0.15
42-047-32504,2346.96,2606.04,259.08,0.15
42-047-32505,1097.28,2834.64,1737.36,0.15
42-047-32507,2015.6424,3004.1088,988.4664,0.15
42-047-32508,2022.348,2898.0384,875.6904,0.15
42-047-32511,2346.96,2606.04,259.08,0.15
42-047-32513,1264.92,2292.096,1027.176,0.15
42-047-32515,1124.712,2380.488,1255.776,0.15
42-047-32517,1114.044,2363.724,1249.68,0.15
42-047-32518,1569.72,2471.928,902.208,0.15
42-047-32519,1118.616,2369.82,1251.204,0.15
42-047-32520,914.4,1249.68,335.28,0.15
42-047-32536,1251.204,2791.968,1540.764,0.15
42-047-32538,1063.752,1188.72,124.968,0.15
42-047-32539,865.632,1676.4,810.768,0.15
42-057-30932,2377.44,1517.904,-859.536,0.15
42-057-30962,1715.7192,2500.2744,784.5552,0.15
42-057-31347,2165.604,3840.48,1674.876,0.15
42-057-31370,2142.744,3999.2808,1856.5368,0.15
42-057-31382,2240.28,3639.312,1399.032,0.15
42-057-31393,2182.368,3974.592,1792.224,0.15
42-057-31415,2194.56,3992.88,1798.32,0.15
42-057-31419,2157.984,3810,1652.016,0.15
42-057-31420,2145.792,3806.952,1661.16,0.15
42-057-31428,2267.712,3944.112,1676.4,0.15
42-057-31495,2267.712,3944.112,1676.4,0.15
42-071-03021,1804.416,2178.7104,374.2944,0.15
42-071-30931,2552.7,3941.9784,1389.2784,0.15
42-071-31396,2060.448,2697.48,637.032,0.15
42-071-31407,2328.672,2970.276,641.604,0.15
42-071-31439,2093.976,2694.432,600.456,0.15
42-071-31477,2045.208,2738.628,693.42,0.15
42-071-31494,2074.164,2697.48,623.316,0.15
