api_number,depth_top,depth_bot,thickness,porosity,coord_latitude,coord_longitude
42-025-33235,304.8,365.76,60.96,0.15,28.5827185,-98.008107
42-025-33312,518.16,822.96,304.8,0.15,28.5654425,-97.8066247
42-025-33321,448.056,1146.048,697.992,0.15,28.3671977,-97.780329
42-025-33416,1118.616,1249.68,131.064,0.15,28.4170957,-97.535263
42-025-33443,518.16,822.96,304.8,0.15,28.564909,-97.8003527
42-025-33577,1109.472,1508.76,399.288,0.15,28.3719995,-97.461687
42-025-33609,1109.472,1508.76,399.288,0.15,28.3758218,-97.4614701
42-025-33619,1193.292,1221.3336,28.0416,0.15,28.3008272,-97.7132399
42-025-33633,826.008,914.4,88.392,0.15,28.4678868,-97.823459
42-025-33670,688.848,801.624,112.776,0.15,28.529386,-97.8108553
42-025-33694,893.064,1050.036,156.972,0.15,28.4686691,-97.8278567
42-025-33899,868.68,1274.064,405.384,0.15,28.2418993,-97.7616979
42-025-33902,393.192,856.488,463.296,0.15,28.5351684,-97.9064461
42-025-33903,688.848,923.544,234.696,0.15,28.5345096,-97.9369672
42-025-33904,762,1005.84,243.84,0.15,28.426366,-97.7855151
42-025-33909,962.8632,1019.2512,56.388,0.15,28.4241018,-97.8032829
42-025-33912,795.528,1173.48,377.952,0.15,28.3412056,-97.7358889
42-025-33914,1000.0488,1059.4848,59.436,0.15,28.4363342,-97.7800674
42-025-33915,905.256,944.88,39.624,0.15,28.421686,-97.7817588
42-025-33916,914.4,1214.628,300.228,0.15,28.3226848,-97.8094962
42-025-33919,868.68,1216.152,347.472,0.15,28.3204266,-97.812249
42-025-33921,688.848,905.256,216.408,0.15,28.6589844,-97.7870683
42-025-33925,659.5872,837.5904,178.0032,0.15,28.5646018,-97.8243507
42-025-33928,822.96,914.4,91.44,0.15,28.4564104,-97.8051662
42-025-33932,995.172,1053.3888,58.2168,0.15,28.4395879,-97.7814415
42-025-33935,846.7344,899.16,52.4256,0.15,28.4985575,-97.8689289
42-025-33937,883.92,914.4,30.48,0.15,28.4354493,-97.7883871
42-025-33938,1005.84,1066.8,60.96,0.15,28.4321329,-97.7782331
42-025-33943,893.064,1203.96,310.896,0.15,28.3257872,-97.8179176
42-025-33944,854.3544,1070.4576,216.1032,0.15,28.467437,-97.8769811
42-025-33945,1188.72,1734.312,545.592,0.15,28.2431732,-97.510112
42-025-33946,954.6336,982.0656,27.432,0.15,28.4250644,-97.8033983
42-025-33947,1066.8,1219.2,152.4,0.15,28.3246341,-97.8364663
42-025-33948,975.0552,1039.6728,64.6176,0.15,28.4367103,-97.7909663
42-025-33949,688.848,801.624,112.776,0.15,28.3544548,-97.8974398
42-025-33952,521.208,822.0456,300.8376,0.15,28.5748271,-97.8695515
42-025-33955,591.6168,888.7968,297.18,0.15,28.4985444,-97.876737
42-025-33965,629.412,1036.32,406.908,0.15,28.4194812,-97.8910938
42-025-33966,861.9744,959.2056,97.2312,0.15,28.4327357,-97.8141027
42-025-33967,644.652,959.2056,314.5536,0.15,28.4544463,-97.8045247
42-025-33970,668.7312,1003.0968,334.3656,0.15,28.4169436,-97.8028219
42-025-33972,929.64,1219.2,289.56,0.15,28.2754937,-97.8241042
42-025-33976,533.4,1188.72,655.32,0.15,28.3296586,-97.8026343
42-025-33978,802.5384,858.3168,55.7784,0.15,28.4284829,-97.8858352
42-025-33987,857.4024,915.924,58.5216,0.15,28.4390967,-97.8002398
42-025-33993,948.2328,995.172,46.9392,0.15,28.4291277,-97.8496021
42-025-34001,940.9176,1009.4976,68.58,0.15,28.454315,-97.8158169
42-025-34002,661.416,853.44,192.024,0.15,28.5621537,-97.8781514
42-039-31654,822.96,947.928,124.968,0.15,29.1590508,-95.6491854
42-039-31980,1996.44,2545.08,548.64,0.15,29.3943868,-95.4602352
42-039-32349,2545.08,4064.508,1519.428,0.15,29.3799739,-95.1851573
42-039-32744,1757.172,2435.352,678.18,0.15,29.520843,-95.3449326
42-039-32748,1808.988,2523.744,714.756,0.15,29.4796435,-95.3942728
42-039-32763,1773.936,330.708,-1443.228,0.15,29.4761815,-95.3991362
42-039-32881,1780.032,2450.592,670.56,0.15,29.4800623,-95.3938602
42-039-32947,2407.92,2657.856,249.936,0.15,29.4844713,-95.3712245
42-039-33055,2075.688,2697.7848,622.0968,0.15,29.4177443,-95.3696855
42-047-00275,2280.5136,2166.2136,-114.3,0.15,27.142812,-98.043876
42-047-00820,1127.76,1990.344,862.584,0.15,26.9095587,-98.2903568
42-047-00868,225.552,1645.92,1420.368,0.15,26.856226,-98.2942472
42-047-01365,2133.6,2682.24,548.64,0.15,27.2302636,-98.1079358
42-047-01420,2194.56,2545.08,350.52,0.15,27.2088762,-98.0471417
42-047-01421,2189.0736,2607.2592,418.1856,0.15,27.2047192,-98.0455112
42-047-01524,2196.3888,2607.2592,410.8704,0.15,27.2060209,-98.0511555
42-047-30137,1179.576,2644.14,1464.564,0.15,27.1436615,-98.0697496
42-047-30171,1889.76,3602.736,1712.976,0.15,27.2126345,-98.0313192
42-047-30649,1219.2,1981.2,762,0.15,27.0993536,-98.3039478
42-047-30868,1838.5536,2401.824,563.2704,0.15,26.8984495,-98.1921587
42-047-30903,1066.8,2286,1219.2,0.15,26.9449705,-98.160109
42-047-31298,762,762,0,0.15,26.8474759,-98.4051736
42-047-31343,1066.8,2133.6,1066.8,0.15,27.0262011,-98.2661783
42-047-31344,1066.8,2133.6,1066.8,0.15,27.0158996,-98.2495592
42-047-31355,2468.88,2545.08,76.2,0.15,27.2012501,-98.043658
42-047-31362,2819.7048,2819.7048,0,0.15,27.2023621,-98.0353293
42-047-31375,1051.56,2136.648,1085.088,0.15,27.0126941,-98.249401
42-047-31432,2133.6,2590.8,457.2,0.15,27.2091322,-98.0431546
42-047-31478,1341.12,1859.28,518.16,0.15,26.9819521,-98.2751083
42-047-31502,1341.12,1874.52,533.4,0.15,26.9713901,-98.2791931
42-047-31541,1162.812,2043.684,880.872,0.15,26.9087901,-98.2821338
42-047-31560,1341.12,1859.28,518.16,0.15,26.9800826,-98.2779878
42-047-31561,2811.4752,2380.488,-430.9872,0.15,27.185941,-98.03791
42-047-31576,975.36,2331.72,1356.36,0.15,26.8935397,-98.309287
42-047-31583,1341.12,1844.04,502.92,0.15,26.9776141,-98.2801019
42-047-31584,822.96,2417.064,1594.104,0.15,26.9330857,-98.2482137
42-047-31600,768.096,1868.424,1100.328,0.15,26.9211286,-98.3160064
42-047-31605,1341.12,1844.04,502.92,0.15,26.9788028,-98.2819763
42-047-31609,1526.4384,2467.356,940.9176,0.15,26.9016242,-98.2814389
42-047-31654,1158.24,2340.864,1182.624,0.15,26.8681003,-98.2012472
42-047-31656,1219.2,2743.2,1524,0.15,27.2235279,-98.0574036
42-047-31667,1219.2,2743.2,1524,0.15,27.22039,-98.0590697
42-047-31696,2253.3864,2332.9392,79.5528,0.15,27.2088201,-98.0493651
42-047-31699,2340.864,2438.4,97.536,0.15,27.0860492,-98.1925116
42-047-31707,1970.8368,2014.728,43.8912,0.15,26.8817372,-98.3093092
42-047-31708,1051.56,1798.32,746.76,0.15,26.9238369,-98.320382
42-047-31710,1275.588,1897.38,621.792,0.15,26.9111798,-98.3469666
42-047-31713,2423.16,2545.08,121.92,0.15,27.0744245,-98.173003
42-047-31717,2362.2,2532.2784,170.0784,0.15,27.219949,-98.0538337
42-047-31718,2734.6656,2734.6656,0,0.15,27.2011924,-98.0536159
42-047-31722,2368.296,2468.88,100.584,0.15,27.0805554,-98.1923632
42-047-31745,1149.096,2248.5096,1099.4136,0.15,26.8544537,-98.3012264
42-047-31751,1341.12,1859.28,518.16,0.15,26.9819539,-98.2830454
42-047-31752,1027.176,2164.08,1136.904,0.15,26.8361966,-98.3577381
42-047-31765,1164.336,2298.192,1133.856,0.15,26.8575423,-98.2867991
42-047-31809,2487.168,2863.596,376.428,0.15,27.2358777,-98.0480869
42-047-31816,1280.16,2740.152,1459.992,0.15,27.1488544,-98.0656309
42-047-31826,1219.2,2743.2,1524,0.15,27.1408277,-98.0717753
42-047-31827,1194.816,2292.096,1097.28,0.15,26.8833095,-98.2321745
42-047-31829,2336.5968,2599.944,263.3472,0.15,27.0595263,-98.1718079
42-047-31832,2468.88,2743.2,274.32,0.15,27.1514966,-98.0703365
42-047-31834,2279.2944,2807.208,527.9136,0.15,27.2427539,-98.0692099
42-047-31842,2205.228,3058.3632,853.1352,0.15,27.2338615,-98.0761592
42-047-31847,1828.8,2743.2,914.4,0.15,27.2352552,-98.104299
42-047-31848,1202.436,2346.96,1144.524,0.15,26.835317,-98.2726162
42-047-31851,1202.436,2346.96,1144.524,0.15,26.838702,-98.2726252
42-047-31852,1324.356,2279.904,955.548,0.15,26.8836983,-98.2376208
42-047-31866,2109.216,2410.6632,301.4472,0.15,27.094772,-98.1996278
42-047-31872,914.4,1249.68,335.28,0.15,27.1869918,-98.3204735
42-047-31890,2045.208,2962.0464,916.8384,0.15,27.1396713,-98.0598034
42-047-31903,1082.04,1777.5936,695.5536,0.15,27.1975442,-98.2931715
42-047-31909,1274.6736,2952.9024,1678.2288,0.15,27.1358064,-98.0602183
42-047-31921,1005.84,2340.864,1335.024,0.15,26.889188,-98.2945197
42-047-31926,1260.6528,3213.8112,1953.1584,0.15,27.1401897,-98.032493
42-047-31945,1664.208,2514.6,850.392,0.15,27.1727963,-98.1415266
42-047-31971,1691.64,2535.936,844.296,0.15,27.1723365,-98.1406806
42-047-31972,1341.12,2712.72,1371.6,0.15,27.1594912,-98.1835756
42-047-31973,1539.24,2854.452,1315.212,0.15,27.1533813,-98.1921286
42-047-31998,2148.84,2627.376,478.536,0.15,27.072297,-98.1990782
42-047-32007,1275.8928,2963.8752,1687.9824,0.15,27.1439761,-98.0597767
42-047-32013,1325.88,2743.2,1417.32,0.15,27.1583818,-98.1862766
42-047-32014,2141.22,2602.992,461.772,0.15,27.0744798,-98.1963568
42-047-32017,1402.08,2682.24,1280.16,0.15,26.8006716,-98.0930951
42-047-32026,1341.12,2718.816,1377.696,0.15,27.1584325,-98.1776766
42-047-32028,1347.216,2813.304,1466.088,0.15,27.1654424,-98.1807947
42-047-32033,1269.7968,2982.1632,1712.3664,0.15,27.140571,-98.0622803
42-047-32035,2957.1696,3441.8016,484.632,0.15,26.8120025,-98.0431455
42-047-32049,1237.488,2877.312,1639.824,0.15,27.1352447,-98.06701
42-047-32050,292.608,1898.904,1606.296,0.15,26.8927317,-98.3205722
42-047-32052,2667,3175.4064,508.4064,0.15,27.2244642,-98.0540019
42-047-32054,1275.2832,2011.68,736.3968,0.15,26.9903661,-98.2992369
42-047-32056,865.632,1517.904,652.272,0.15,26.925424,-98.3625829
42-047-32057,2038.1976,3672.84,1634.6424,0.15,27.1311546,-98.0492414
42-047-32064,850.392,1560.576,710.184,0.15,26.9283006,-98.3581226
42-047-32067,981.456,1840.992,859.536,0.15,27.1866952,-98.3631372
42-047-32071,1889.76,2485.644,595.884,0.15,27.0939578,-98.2097323
42-047-32075,1097.28,1810.512,713.232,0.15,27.2067532,-98.3484983
42-047-32077,2407.92,3132.7344,724.8144,0.15,27.2303995,-98.0521396
42-047-32094,1205.7888,2857.8048,1652.016,0.15,27.1385707,-98.0665536
42-047-32096,1344.168,2845.308,1501.14,0.15,26.7973116,-98.0863708
42-047-32113,1264.92,3489.96,2225.04,0.15,27.1088699,-98.0619091
42-047-32130,2154.936,2516.4288,361.4928,0.15,26.8497549,-98.2721458
42-047-32131,1859.28,2652.9792,793.6992,0.15,27.1499427,-98.1847199
42-047-32132,1207.008,2822.448,1615.44,0.15,27.1412598,-98.0667069
42-047-32142,914.4,1249.68,335.28,0.15,26.848761,-98.2803264
42-047-32144,2110.1304,2587.1424,477.012,0.15,26.9430656,-98.1733712
42-047-32145,1254.252,3468.624,2214.372,0.15,27.116259,-98.0616008
42-047-32154,914.4,1249.68,335.28,0.15,26.8213331,-98.240247
42-047-32157,1301.496,3182.112,1880.616,0.15,27.1474128,-98.0343263
42-047-32165,1530.7056,2129.3328,598.6272,0.15,26.839933,-98.3933158
42-047-32172,868.68,1569.72,701.04,0.15,27.1893847,-98.30652
42-047-32215,917.448,1680.972,763.524,0.15,27.2203668,-98.2634501
42-047-32242,1272.54,3304.032,2031.492,0.15,27.1475721,-98.0395154
42-047-32243,978.408,1575.816,597.408,0.15,27.192162,-98.3558508
42-047-32249,690.372,1574.292,883.92,0.15,27.1833044,-98.3071651
42-047-32278,1475.232,2609.088,1133.856,0.15,27.1992475,-98.0830512
42-047-32285,1476.756,2597.2008,1120.4448,0.15,27.1982987,-98.0870014
42-047-32286,1493.52,2570.988,1077.468,0.15,27.1914022,-98.0855389
